"Traditional Folk","* Milos Radio - Mp3 * Mp3 80 kb/s","http://81.18.84.163:8803"
"Russian","*RussianRouletteRadio/*LiveFromLondon*RUSSIAN TOP100*POP*ELECTRO*HOUSE*RNB*facebook.com/RussianRoule","http://159.253.131.114:8134"
"Turntablism",".....:::::) beatbasement.com (:::::.....  Powered by Fast-Serv.com","http://199.58.160.146:8002"
"Tech house dance","...::Dance Tunes Radio::...","http://cast.bhotradio.com:8400/dtr4"
"Vanalles","...::Radio Roya::...","http://cast.bhotradio.com:8397/roya4"
"European",".:::ARGES MIOVENI NR1:::.dj_NUSU","http://89.39.189.53:8000"
"Vari̩","/fmplus","http://37.59.45.148:8000/fmplus"
"Teen Pop",":: SubMainRADIO :: 24WebRadio","http://85.25.100.7:8015"
"Dream ambient space pop","[1337 4M8I3N7] MASCHINENGEIST.ORG RADIO Deep Field Transmissions","http://178.209.52.163:7331/maschinengeist.org.128.aacp"
"House","[RadioMonteCarlo]","http://streaming208.radionomy.com:80/-Radio-Monte-Carlo-"
"House","{MC}Paradise Presents House","http://shout.paradisesgarage.com:8000/autodj"
"Psychedelic","~ TRIPLAG ~ Chill Trips ~ Psychedelic chillout Dub ambient IDM and more","http://198.154.106.102:8208"
"Avant alternative techn","00o EKO DES GARRIGUES o00 live radio from montpellier [f][128][mp3]","http://91.121.159.124:8000/eko-des-garrigues-128k.mp3"
"Garde alternative elect","00o EKO DES GARRIGUES o00 live radio from montpellier [f][32][mp3]","http://91.121.159.124:8000/eko-des-garrigues-32k.mp3"
"Dance","1.FM - ABSOLUTE TOP 40 RADIO","http://205.164.62.15:7016"
"Vocal Jazz","1.FM - ADORE JAZZ RADIO","http://205.164.35.19:80"
"Vocal Jazz","1.FM - ADORE JAZZ RADIO","http://205.164.35.21:80"
"Lounge","1.FM - CHILLOUT LOUNGE RADIO","http://205.164.35.3:80"
"Opera","1.FM - OTTO's OPERA HOUSE RADIO","http://205.164.36.41:80"
"European","100 Topschlager  Schlager Discofox Top100  Der Schlagerstream von Hitstation.fm","http://46.105.118.14:19500"
"Pop","100%POP-NEWWAVE-PROG","http://streaming202.radionomy.com:80/100-POP---NEW-WAVE---PROG"
"Heavy Metal","100hitz - Heavy Metal","http://69.4.234.186:9100"
"Adult","100Hitz - Hot Hitz","http://206.217.213.235:8290"
"Country Blues","100hitz - New Country","http://69.4.234.186:9210"
"Country Blues","100hitz - New Country","http://69.4.234.186:9150"
"Adult","102.9FM  Hot Tomato","http://67.228.150.184:8765"
"Rock","103.3 WZND FUZED RADIO","http://wgltradio.ilstu.edu:8000/wzndmain.mp3"
"Western","107.8 Radio Jackie Finesse - The Sound of South West London","http://95.154.211.15:5873"
"Hardcore","12punks.FM Punk Rock Radio!","http://95.141.24.56:80"
"Radio live rock","1431AM - Thessaloniki Free Radio/Greece","http://www.1431am.org:8000/1431high"
"House trance acid downt","16Bit.FM B.T.M. channel = Electronic Music from 70s till 2000","http://16bit.fm:8000/btm_mp3_128"
"Hop ambient deep house ","16Bit.FM CAFE Channel = Music For Relaxation &amp; Conversation","http://16bit.fm:8000/cafe_mp3_192"
"Breaks progressive tech","16Bit.FM CLUB Channel - Dance Music 24/7","http://16bit.fm:8000/club_mp3_128"
"Deep minimal modern tec","16Bit.FM I.D.E.A. channel = Electronic music for experienced ears","http://16bit.fm:8000/idea_mp3_128"
"Techno progressive hous","16Bit.FM Main Channel = Groove &amp; Intelligent Sound","http://16bit.fm:8000/main_mp3_128"
"100%","180","http://streaming207.radionomy.com:80/180"
"70s","181.FM - 70's","http://108.61.73.115:8066"
"Pop Reggae","181.FM - 90's Alternative","http://108.61.73.119:8052"
"World Pop","181.FM - 90's Alternative","http://108.61.73.118:8052"
"World Pop","181.FM - 90's Alternative","http://108.61.73.117:8052"
"90s","181.FM - 90's Country","http://108.61.73.117:14050"
"Chill","181.FM - Chilled","http://108.61.73.115:8700"
"Chill","181.FM - Chilled","http://108.61.73.117:8750"
"Christmas","181.FM - Christmas Smooth Jazz","http://108.61.73.120:8092"
"Christmas","181.FM - Christmas Standards","http://108.61.73.118:8118"
"Christmas","181.FM - Christmas Traditional Classics","http://108.61.73.115:8124"
"60s","181.FM - Classic Hits --- Home of The 60's and 70's","http://108.61.73.117:8990"
"60s","181.FM - Classic Hits --- Home of The 60's and 70's","http://108.61.73.115:8900"
"Comedy","181.FM - Comedy Club (*Explicit Content*)","http://108.61.73.120:8026"
"Comedy","181.FM - Comedy Club (*Explicit Content*)","http://108.61.73.115:8026"
"Dance Pop","181.FM - Energy 98 - Dance Hits","http://108.61.73.118:8800"
"Dance","181.FM - Energy 98 - Dance Hits","http://108.61.73.119:8800"
"Dance Pop","181.FM - Energy 98 - Dance Hits","http://108.61.73.117:8800"
"Oldies","181.FM - Good Time Oldies","http://108.61.73.119:8046"
"Rock & Roll","181.FM - Good Time Oldies","http://108.61.73.115:8046"
"Classic Alternative","181.FM - Highway 181 (Classic Country)","http://108.61.73.120:8018"
